date,date,refeicao,acompanhamento,restaurante,,prato,guarnicao,opcao_vegetal,salada,sobremesa,suco
2025-08-05,05/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,MOQUECA DE TILÁPIA,ARROZ À GREGA,,SALADA DE REPOLHO,MAÇÃ,REFRESCO DE MANGA
2025-08-05,05/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,MOQUECA DE ERVILHAS,ARROZ À GREGA,,SALADA DE REPOLHO,MAÇÃ,REFRESCO DE MANGA
2025-08-05,05/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,ISCAS DE CARNE AO MOLHO MOSTARDA,ACELGA REFOGADA,,SALADA DE BETERRABA RALADA,MELANCIA,REFRESCO DE MANGA
2025-08-05,05/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,"LENTILHA COM LEGUMES (ABOBRINHA, CENOURA E MILHO)",ACELGA REFOGADA,,SALADA DE BETERRABA RALADA,MELANCIA,REFRESCO DE MANGA
2025-08-04,04/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,STROGONOFF DE CARNE,BATATA PALHA,,SALADA DE ALFACE,LARANJA,REFRESCO DE CAJU
2025-08-04,04/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,STROGONOFF DE GRÃO DE BICO,BATATA PALHA,,SALADA DE ALFACE,LARANJA,REFRESCO DE CAJU
2025-08-04,04/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,CUBOS DE FRANGO ACEBOLADO,"LEGUMES À CHINESA (BRÓCOLIS, CENOURA, REPOLHO E PIMENTÃO VERDE)",,SALADA DE ALMEIRÃO COM NABO,MAÇÃ,REFRESCO DE CAJU
2025-08-04,04/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,MACARRÃO COM PTS AO SHOYU,"LEGUMES À CHINESA (BRÓCOLIS, CENOURA, REPOLHO E PIMENTÃO VERDE)",,SALADA DE ALMEIRÃO COM NABO,MAÇÃ,REFRESCO DE CAJU
2025-08-03,03/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE VERMELHA,BIFE À PIZZAIOLO,FAROFA CROCANTE,,SALADA DE ALFACE COM CHICÓRIA,MELÃO,REFRESCO DE PÊSSEGO
2025-08-03,03/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,FEIJAO BRANCO,FEIJÃO BRANCO COM CENOURA E SALSINHA AO SUGO,FAROFA CROCANTE,,SALADA DE ALFACE COM CHICÓRIA,MELÃO,REFRESCO DE PÊSSEGO
2025-08-02,02/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,PEIXE,TILÁPIA À PORTUGUESA,,,SALADA DE COUVE,BANANA,REFRESCO DE UVA
2025-08-02,02/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,FEIJAO BRANCO,"FEIJÃO FRADINHO COM QUIABO, BATATA, AZEITONAS E CEBOLA",,,SALADA DE COUVE,BANANA,REFRESCO DE UVA
2025-08-02,02/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE VERMELHA,"GOULASH DE CARNE (CARNE EM CUBOS, TOMATE, MOLHO SHOYU, CEBOLA, ERVILHA E CENOURA)",ACELGA REFOGADA,,SALADA DE ALFACE,LARANJA,REFRESCO DE UVA
2025-08-02,02/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,GRAO DE BICO,GRÃO DE BICO AO POMODORO,ACELGA REFOGADA,,SALADA DE ALFACE,LARANJA,REFRESCO DE UVA
2025-08-01,01/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,SOBRECOXA ,SOBRECOXA DE FRANGO ASSADA,CENOURA REFOGADA,,SALADA DE ACELGA,ARROZ DOCE,REFRESCO DE CAJU
2025-08-01,01/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,KIBE,QUIBE DE PTS COM BRÓCOLIS,CENOURA REFOGADA,,SALADA DE ACELGA,ARROZ DOCE VEGANO,REFRESCO DE CAJU
2025-08-01,01/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE VERMELHA,CARNE BOVINA DE PANELA,CHUCHU NA SALSA,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE CAJU
2025-08-01,01/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,GRAO DE BICO,TORTA DE GRÃO DE BICO,CHUCHU NA SALSA,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE CAJU
2025-07-31,31/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE FRANGO,"FRANGO CAIPIRA (MILHO, TOMATE, CEBOLA, PIMENTÃO E CHEIRO VERDE)",POLENTA AO SUGO,,SALADA DE ALFACE COM RÚCULA,MAÇÃ,REFRESCO DE TANGERINA
2025-07-31,31/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,OUTROS VEGANO,ERVILHA PARTIDA COM CENOURA,POLENTA AO SUGO,,SALADA DE ALFACE COM RÚCULA,MAÇÃ,REFRESCO DE TANGERINA
2025-07-31,31/07/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE PORCO,BISTECA SUÍNA ACEBOLADA,REPOLHO MISTO REFOGADO,,SALADA DE BETERRABA RALADA,BANANA,REFRESCO DE TANGERINA
2025-07-31,31/07/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,PTS,"RISOTO ESPECIAL (ARROZ BRANCO, TRIGO EM GRÃOS, QUINOA, TOMATE E PTS)",REPOLHO MISTO REFOGADO,,SALADA DE BETERRABA RALADA,BANANA,REFRESCO DE TANGERINA
2025-07-30,30/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE PORCO,BISTECA SUÍNA AO MOLHO DE LIMÃO,ABOBRINHA REFOGADA - (RA) E ABÒBORA CABOTIA (RS / RU),,SALADA DE CENOURA RALADA,BANANA,REFRESCO DE MANGA
2025-07-30,30/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,LENTILHA,LENTILHA COM BERINJELA,ABOBRINHA REFOGADA - (RA) E ABÒBORA CABOTIA (RS / RU),,SALADA DE CENOURA RALADA,BANANA,REFRESCO DE MANGA
2025-07-30,30/07/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE VERMELHA,ISCAS DE CARNE AO MOLHO POMODORO,COUVE-FLOR COM BRÓCOLIS,,SALADA DE ALMEIRÃO,LARANJA,REFRESCO DE MANGA
2025-07-30,30/07/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,FEIJAO BRANCO,FEIJÃO BRANCO COM CHUCHU E MILHO AO SUGO,COUVE-FLOR COM BRÓCOLIS,,SALADA DE ALMEIRÃO,LARANJA,REFRESCO DE MANGA
2025-07-29,29/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE VERMELHA,ISCAS DE CARNE AO MOLHO RÚSTICO COM AZEITONAS,FAROFA CROCANTE COM CALABRESA,,SALADA DE ALFACE,LARANJA,REFRESCO DE ACEROLA
2025-07-29,29/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,FEIJAO BRANCO,FEIJÃO BRANCO RÚSTICO COM CHUCHU E CENOURA,FAROFA CROCANTE,,SALADA DE ALFACE,LARANJA,REFRESCO DE ACEROLA
2025-07-29,29/07/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE FRANGO,"ISCAS DE FRANGO À CHINESA (BRÓCOLIS, CENOURA, REPOLHO, PIMENTÃO, CEBOLA E SHOYU)",,,"SALADA DE TABULE (TRIGO PARA QUIBE, PEPINO, TOMATE, CEBOLA E HORTELÃ)",MELANCIA,REFRESCO DE ACEROLA
2025-07-29,29/07/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,PTS,"YAKISSOBA DE PTS (MACARRÃO INTEGRAL, BRÓCOLIS, CENOURA, ACELGA, PIMENTÃO, CEBOLA E SHOYU)",,,"SALADA DE TABULE (TRIGO PARA QUIBE, PEPINO, TOMATE, CEBOLA E HORTELÃ)",MELANCIA,REFRESCO DE ACEROLA
2025-07-28,28/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE PORCO,CUBOS SUÍNOS COM ABACAXI (RS/RA),ESCAROLA REFOGADA,,SALADA DE REPOLHO BICOLOR (RS/RA) | SALADA DE ESCAROLA (RU),BANANA,REFRESCO DE UVA
2025-07-28,28/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE FRANGO,CUBOS DE FRANGO AO MOLHO ESCURO (RU),ESCAROLA REFOGADA,,SALADA DE REPOLHO BICOLOR (RS/RA) | SALADA DE ESCAROLA (RU),BANANA,REFRESCO DE UVA
2025-07-28,28/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,GRAO DE BICO,GRÃO DE BICO COM ABACAXI,ESCAROLA REFOGADA,,SALADA DE REPOLHO BICOLOR (RS/RA) | SALADA DE ESCAROLA (RU),BANANA,REFRESCO DE UVA
2025-07-28,28/07/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,PEIXE,PESCADA AO BRÁS,MANDIOQUINHA E CENOURA SAUTÉ (RS) | CENOURA SAUTÉ (RU/RA/HC),,SALADA DE ESCAROLA,MAÇÃ,REFRESCO DE UVA
2025-07-28,28/07/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,OUTROS VEGANO,"MIX DE GRÃOS COM BETERRABA (SOJA EM GRÃOS, TRIGO EM GRÃOS E LENTILHA)",MANDIOQUINHA E CENOURA SAUTÉ (RS) | CENOURA SAUTÉ (RU/RA/HC),,SALADA DE ESCAROLA,MAÇÃ,REFRESCO DE UVA
2025-07-27,27/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE FRANGO,ISCA DE FRANGO GRATINADA,FAROFA CROCANTE,,SALADA DE COUVE,ARROZ DOCE,REFRESCO DE MANGA
2025-07-27,27/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,LENTILHA,LENTILHA GRATINADA,FAROFA CROCANTE,,SALADA DE COUVE,ARROZ DOCE VEGANO,REFRESCO DE MANGA
2025-07-26,26/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE VERMELHA,"CARNE MOÍDA COM LEGUMES (CENOURA, ERVILHA E SALSA)",COUVE AO ALHO,,SALADA DE REPOLHO,TANGERINA (HC) | MAÇÃ(RS),REFRESCO DE ACEROLA
2025-07-26,26/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,LENTILHA,BERINJELA À NAPOLITANA COM LENTILHA E AVEIA,COUVE AO ALHO,,SALADA DE REPOLHO,TANGERINA (HC) | MAÇÃ (RS),REFRESCO DE ACEROLA
2025-07-26,26/07/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,SOBRECOXA ,SOBRECOXA ENSOPADA,VIRADO DE REPOLHO COM MILHO,,SALADA DE RABANETE COM COUVE,BANANA,REFRESCO DE ACEROLA
2025-07-26,26/07/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,PTS,PTS COM CENOURA,VIRADO DE REPOLHO COM MILHO,,SALADA DE RABANETE COM COUVE,BANANA,REFRESCO DE ACEROLA
2025-07-25,25/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO PRETO,,FEIJOADA,FEIJOADA,COUVE REFOGADA NO ALHO,,CALDO DE FEIJÃO COM PIMENTA,LARANJA,REFRESCO DE ABACAXI
2025-07-25,25/07/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO PRETO,,FEIJOADA,FEIJOADA,COUVE REFOGADA NO ALHO,,CALDO DE FEIJÃO COM PIMENTA,LARANJA,REFRESCO DE ABACAXI
2025-07-25,25/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO PRETO,,FEIJOADA VEGANA,FEIJOADA VEGANA (PTS),COUVE REFOGADA NO ALHO,,CALDO DE FEIJÃO COM PIMENTA,LARANJA,REFRESCO DE ABACAXI
2025-07-25,25/07/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO PRETO,,FEIJOADA VEGANA,FEIJOADA VEGANA (PTS),COUVE REFOGADA NO ALHO,,CALDO DE FEIJÃO COM PIMENTA,LARANJA,REFRESCO DE ABACAXI
2025-07-24,24/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE FRANGO,"ISCAS DE FRANGO À CHINESA (CEBOLA, CENOURA, PIMENTÃO VERDE,TOMATE, BRÓCOLIS, REPOLHO E MOLHO SHOYU)",,,SALADA DE BETERRABA RALADA,BARRA DE CEREAL,REFRESCO DE UVA
2025-07-24,24/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,OUTROS VEGANO,"PAELLA VEGANA (PTS, ERVILHA EM CONSERVA, PIMENTÃO, CEBOLA, TOMATE E ARROZ INTEGRAL)",LEGUMES REFOGADOS,,SALADA DE BETERRABA RALADA,BARRA DE CEREAL,REFRESCO DE UVA
2025-07-24,24/07/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,PEIXE,"PESCADA AO BRÁS (CEBOLA, SALSA E BATATA PALHA)",BERINJELA REFOGADA,,SALADA DE REPOLHO COM COUVE,"BANANA (RU, RA e HC) / MAÇÃ (RS)",REFRESCO DE UVA
2025-07-24,24/07/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,SOJA,SOJA ACEBOLADA COM TRIGO EM GRÃOS E ALHO PORÓ,BERINJELA REFOGADA,,SALADA DE REPOLHO COM COUVE,"BANANA (RU, RA e HC) / MAÇÃ (RS)",REFRESCO DE UVA
2025-07-23,23/07/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,CARNE DE PORCO,BISTECA SUÍNA AO MOLHO BARBECUE,PURÊ DE ABÓBORA,,SALADA DE ALFACE COM AGRIÃO,MAÇÃ,REFRESCO DE ACEROLA
2025-07-23,23/07/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,OUTROS VEGANO,FRADINHO COM QUIABO,PURÊ DE ABÓBORA,,SALADA DE ALFACE COM AGRIÃO,MAÇÃ,REFRESCO DE ACEROLA
